8000001;Aachen Hbf;AC;Aken C;Aquisgrana;Aix-la-Chapelle;Aquisgrán
8000002;Aalen;AA;;;;
8000003;Furth i Wald(Gr);;;;;
8000004;Altenbeken;;;;;
8000007;Alzey;AZ;;;;
8000008;Kehl(Gr);;;;;
8000009;Ansbach;AN;;;;
8000010;Aschaffenburg Hbf;AB;;;;
8000011;Ascheberg(Holst);;;;;
8000012;Au(Sieg);Windeck-Au(Sieg);;;;
8000013;Augsburg Hbf;A;Augsbourg;;;
8000014;Aulendorf;;;;;
8000015;Babenhausen(Hess);;;;;
8000016;Backnang;BK;;;;
8000017;Bad Friedrichshall Hbf;Bad Friedrichshall-Jagstfeld;Friedrichshall-Jagstfeld Bad;;;
8000019;Bad Harzburg;Harzburg Bad;;;;
8000020;Bad Hersfeld;HEF;HERS;Hersfeld Bad;;
8000021;Bad Kreuznach;KH;Kreuznach Bad;;;
8000022;Bad Nenndorf;Nenndorf Bad;;;;
8000023;Bad Oldesloe;OD;Oldesloe Bad;;;
8000025;Bamberg;BA;;;;
8000026;Basel Bad Bf;BAS;;;;
8000027;Schwandorf;SAD;;;;
8000028;Bayreuth Hbf;BT;;;;
8000029;Bebra;;;;;
8000030;Bedburg(Erft);;;;;
8000031;Bensheim;;;;;
8000032;Schweinfurt Hbf;SW;;;;
8000033;Schwelm;;;;;
8000034;Betzdorf(Sieg);;;;;
8000036;Bielefeld Hbf;BI;;;;
8000037;Schwerte(Ruhr);;;;;
8000038;Bietigheim-Bissingen;;;;;
8000039;Bingen(Rhein) Hbf;BIN;;;;
8000040;Bocholt;BOH;;;;
8000041;Bochum Hbf;BO;;;;
8000042;Seckach;;;;;
8000043;Seesen;;;;;
8000044;Bonn Hbf;BN;;;;
8000045;Boppard Hbf;;;;;
8000046;Siegen;SI;;;;
8000047;Bottrop Hbf;BOT;;;;
8000048;Brackwede;Bielefeld-Brackwede;;;;
8000049;Braunschweig Hbf;BS;Brunswick(Germany);Brunswiek;;
8000050;Bremen Hbf;HB;Brema;;;
8000051;Bremerhaven Hbf;BHV;;;;
8000053;Bretten;;;;;
8000054;Brilon Wald;;;;;
8000055;Bruchsal;BR;;;;
8000056;Buchholz(Nordheide);;;;;
8000057;Buchloe;;;;;
8000058;Büchen;;;;;
8000059;Bünde(Westf);;;;;
8000060;Siershahn;;;;;
8000061;Burg-u. Nieder Gemünden;;;;;
8000062;Steinfurt-Burgsteinfurt;BF;;;;
8000063;Calw;CW;;;;
8000064;Celle;CE;Zelle;;;
8000065;Cölbe;;;;;
8000066;Coesfeld(Westf);COE;;;;
8000067;Crailsheim;CR;;;;
8000068;Darmstadt Hbf;DA;;;;
8000069;Sigmaringen;SIG-;;;;
8000070;Delmenhorst;DEL;;;;
8000071;Derneburg(Han);Holle-Derneburg;;;;
8000072;Simbach(Inn);;;;;
8000073;Singen(Hohentwiel);SIN;Singen (Htw) Bahnhof;;;
8000074;Dillenburg;DIL;;;;
8000075;Dillingen(Saar);;;;;
8000076;Soest;SO;;;;
8000077;Donaueschingen;DS;;;;
8000078;Donauwörth;DON;;;;
8000079;Puttgarden(MS);;;;;
8000080;Dortmund Hbf;DO;;;;
8000081;Dortmund-Dorstfeld;;;;;
8000082;Düsseldorf Flughafen;;;;;
8000083;Dülmen;;;;;
8000084;Düren;DN;;;;
8000085;Düsseldorf Hbf;D;Dusseldorf City;;;
8000086;Duisburg Hbf;DU;Duisbourg;;;
8000087;Solingen Hbf;SG;;;;
8000088;Soltau(Han);;;;;
8000089;Stade;STD;;;;
8000090;Eichenberg;;;;;
8000091;Steinach(b Rothenburg ob der Tauber);Gallmersgarten-Steinach(b Rothenburg o Tauber);;;;
8000092;Elmshorn;;;;;
8000093;Elze(Han);;;;;
8000094;Engers;Neuwied-Engers;;;;
8000095;Straubing;SR;;;;
8000096;Stuttgart Hbf;S;Stoccarda;;;
8000098;Essen Hbf;E;;;;
8000099;Essen-Steele;;;;;
8000100;Euskirchen;EU-;;;;
8000101;Eutingen im Gäu;;;;;
8000102;Finnentrop;;;;;
8000103;Flensburg;FL;Flensborg;;;
8000104;Frankenberg(Eder);FKB;;;;
8000105;Frankfurt(Main)Hbf;Francfort (Main);;;;
8000106;Frankfurt-Höchst;;;;;
8000107;Freiburg(Breisgau) Hbf;FR;Fribourg (Brisgau);Friburgo (Brisgovia);;
8000108;Freilassing;;;;;
8000110;Freudenstadt Hbf;FDS;;;;
8000111;Friedberg(Hess);FB;;;;
8000112;Friedrichshafen Stadt;FN;;;;
8000113;Fröndenberg;;;;;
8000114;Fürth(Bay)Hbf;FÜ;;;;
8000115;Fulda;FD;;;;
8000116;Traunstein;TS;;;;
8000117;Gelnhausen;GN;;;;
8000118;Gelsenkirchen Hbf;GE;;;;
8000119;Geltendorf;;;;;
8000120;Gemünden(Main);GEM;;;;
8000121;Gensingen-Horrweiler;;;;;
8000122;Treuchtlingen;TREU;;;;
8000123;Gerolstein;;;;;
8000124;Gießen;GI;;;;
8000125;Gladbeck West;;;;;
8000126;Riedstadt-Goddelau;;;;;
8000127;Göppingen;GP;;;;
8000128;Göttingen;GÖ;Gottinga;;;
8000129;Treysa;Schwalmstadt-Treysa;;;;
8000130;Goslar;GS;;;;
8000131;Graben-Neudorf;;;;;
8000132;Grävenwiesbach;;;;;
8000133;Grevenbroich;GV;;;;
8000134;Trier Hbf;TR;Trèves (Hbf);Treviri (Hbf);;
8000135;Troisdorf;;;;;
8000136;Groß Gerau;Gerau Groß;;;;
8000137;Grünstadt;;;;;
8000138;Gruiten;Haan-Gruiten;;;;
8000139;Günzburg;GZ;;;;
8000140;Baunatal-Guntershausen;;;;;
8000141;Tübingen Hbf;TÜ;;;;
8000142;Hagen Hbf;HA;;;;
8000143;Weil am Rhein-Gartenstadt;;;;;
8000144;Türkheim(Bay)Bf;;;;;
8000145;Haltern am See;;;;;
8000146;Weil am Rhein-Pfädlistraße;;;;;
8000147;Hamburg-Harburg;HAR;;;;
8000148;Hameln;HM;Hamelin;;;
8000149;Hamm(Westf);HAM;;;;
8000150;Hanau Hbf;HU;;;;
8000151;Bad Bentheim(Gr);Bentheim(Gr) Bad;;;;
8000152;Hannover Hbf;H;Hanovre;;;
8000153;Weener(Gr);;;;;
8000154;Türkismühle;;;;;
8000155;Heide(Holst);HEI;;;;
8000156;Heidelberg Hbf;HD;;;;
8000157;Heilbronn Hbf;HN;;;;
8000158;Nidderau;NIDA;Heldenbergen-Wind.;;;
8000159;Helmstedt;HE;;;;
8000160;Herbertingen;;;;;
8000161;Herborn(Dillkr);;;;;
8000162;Herford;HF;;;;
8000163;Tuttlingen;TUT;;;;
8000164;Herne;HER;;;;
8000165;Hervest-Dorsten;;;;;
8000166;Herzberg(Harz);;;;;
8000167;Hesepe;;;;;
8000168;Uelzen;UE;;;;
8000169;Hildesheim Hbf;HI;;;;
8000170;Ulm Hbf;UL;Ulma(Ulm);;;
8000171;Unna;UN;;;;
8000172;Höchst(Odenw);;;;;
8000173;Wunsiedel-Holenbrunn;WUN;;;;
8000174;Viersen;VIE;;;;
8000175;Völklingen;VK;;;;
8000176;Homburg(Saar)Hbf;HOM;;;;
8000177;Horb;HOR;;;;
8000178;Horrem;Kerpen-Horrem;;;;
8000180;Waiblingen;WN;;;;
8000181;Husum;NF;;;;
8000182;Immendingen;;;;;
8000183;Ingolstadt Hbf;IN-;;;;
8000185;Gifhorn;GF;;;;
8000186;Iserlohn;IS;;;;
8000187;Wallau(Lahn);Biedenkopf-Wallau;;;;
8000188;Jülich;JÜL;;;;
8000189;Kaiserslautern Hbf;KL;;;;
8000190;Kaldenkirchen;Nettetal-Kaldenkirch;;;;
8000191;Karlsruhe Hbf;KA;Carlsruhe;;;
8000192;Wanne-Eickel Hbf;WAN;Herne-WanneEickelHbf;;;
8000193;Kassel Hbf;Cassel R.F.A.;;;;
8000194;Kaufbeuren;KF;;;;
8000195;Kaufering;;;;;
8000196;Warburg(Westf);WAR;;;;
8000197;Kempten(Allgäu)Hbf;KE;;;;
8000198;Kettwig;;;;;
8000199;Kiel Hbf;KI;;;;
8000201;Kirchenlaibach;;;;;
