IBNR,Station Name
8000001,Aachen Hbf
8000001,AC
8000001,Aken C
8000001,Aquisgrana
8000001,Aix-la-Chapelle
8000001,Aquisgrán
8000002,Aalen
8000002,AA
8000003,Furth i Wald(Gr)
8000004,Altenbeken
8000007,Alzey
8000007,AZ
8000008,Kehl(Gr)
8000009,Ansbach
8000009,AN
8000010,Aschaffenburg Hbf
8000010,AB
8000011,Ascheberg(Holst)
8000012,Au(Sieg)
8000012,Windeck-Au(Sieg)
8000013,Augsburg Hbf
8000013,A
8000013,Augsbourg
8000014,Aulendorf
8000015,Babenhausen(Hess)
8000016,Backnang
8000016,BK
8000017,Bad Friedrichshall Hbf
8000017,Bad Friedrichshall-Jagstfeld
8000017,Friedrichshall-Jagstfeld Bad
8000019,Bad Harzburg
8000019,Harzburg Bad
8000020,Bad Hersfeld
8000020,HEF
8000020,HERS
8000020,Hersfeld Bad
8000021,Bad Kreuznach
8000021,KH
8000021,Kreuznach Bad
8000022,Bad Nenndorf
8000022,Nenndorf Bad
8000023,Bad Oldesloe
8000023,OD
8000023,Oldesloe Bad
8000025,Bamberg
8000025,BA
8000026,Basel Bad Bf
8000026,BAS
8000027,Schwandorf
8000027,SAD
8000028,Bayreuth Hbf
8000028,BT
8000029,Bebra
8000030,Bedburg(Erft)
8000031,Bensheim
8000032,Schweinfurt Hbf
8000032,SW
8000033,Schwelm
8000034,Betzdorf(Sieg)
8000036,Bielefeld Hbf
8000036,BI
8000037,Schwerte(Ruhr)
8000038,Bietigheim-Bissingen
8000039,Bingen(Rhein) Hbf
8000039,BIN
8000040,Bocholt
8000040,BOH
8000041,Bochum Hbf
8000041,BO
8000042,Seckach
8000043,Seesen
8000044,Bonn Hbf
8000044,BN
8000045,Boppard Hbf
8000046,Siegen
8000046,SI
8000047,Bottrop Hbf
8000047,BOT
8000048,Brackwede
8000048,Bielefeld-Brackwede
8000049,Braunschweig Hbf
8000049,BS
8000049,Brunswick(Germany)
8000049,Brunswiek
8000050,Bremen Hbf
8000050,HB
8000050,Brema
8000051,Bremerhaven Hbf
8000051,BHV
8000053,Bretten
8000054,Brilon Wald
8000055,Bruchsal
8000055,BR
8000056,Buchholz(Nordheide)
8000057,Buchloe
8000058,Büchen
8000059,Bünde(Westf)
8000060,Siershahn
8000061,Burg-u. Nieder Gemünden
8000062,Steinfurt-Burgsteinfurt
8000062,BF
8000063,Calw
8000063,CW
8000064,Celle
8000064,CE
8000064,Zelle
8000065,Cölbe
8000066,Coesfeld(Westf)
8000066,COE
8000067,Crailsheim
8000067,CR
8000068,Darmstadt Hbf
8000068,DA
8000069,Sigmaringen
8000069,SIG-
8000070,Delmenhorst
8000070,DEL
8000071,Derneburg(Han)
8000071,Holle-Derneburg
8000072,Simbach(Inn)
8000073,Singen(Hohentwiel)
8000073,SIN
8000073,Singen (Htw) Bahnhof
8000074,Dillenburg
8000074,DIL
8000075,Dillingen(Saar)
8000076,Soest
8000076,SO
8000077,Donaueschingen
8000077,DS
8000078,Donauwörth
8000078,DON
8000079,Puttgarden(MS)
8000080,Dortmund Hbf
8000080,DO
8000081,Dortmund-Dorstfeld
8000082,Düsseldorf Flughafen
8000083,Dülmen
8000084,Düren
8000084,DN
8000085,Düsseldorf Hbf
8000085,D
8000085,Dusseldorf City
8000086,Duisburg Hbf
8000086,DU
8000086,Duisbourg
8000087,Solingen Hbf
8000087,SG
8000088,Soltau(Han)
8000089,Stade
8000089,STD
8000090,Eichenberg
