clear_station_name,lat,long
neumühle(elster) knottengrund,50.70396,12.17602
berga(elster),50.75239,12.162
wünschendorf,47.09733,15.72261
wünschendorf nord,47.09733,15.72261
gera-zwötzen,50.84833,12.0871
,36.66644,116.96486
rammingen(bay),48.51962,10.17069
münchen-johanneskirchen,48.16764,11.64365
münchen-englschalking,48.15614,11.64172
münchen leuchtenbergring,48.13658,11.61517
münchen hbf (tief),48.13641,11.57754
steinebach,50.60974,7.80272
lindau-aeschach,47.55663,9.69031
enzisweiler,47.5654,9.66593
wasserburg(bodensee),47.57024,9.63843
nonnenhorn,47.57553,9.61342
muhr a see,49.15241,10.72334
triesdorf,49.20331,10.65287
oberdachstetten,49.41539,10.42311
burgbernheim-wildbad,49.43366,10.30127
uffenheim,49.54368,10.23329
marktbreit,49.66564,10.1433
goßmannsdorf,50.13474,10.56202
winterhausen,49.70566,10.01607
ersingen,48.93322,8.63467
ersingen west,48.93322,8.63467
bilfingen,48.95043,8.61982
königsbach(baden),48.96468,8.61236
kleinsteinbach,48.96648,8.55383
söllingen kapellenstraße,48.98347,8.55102
söllingen(b karlsr),51.15732,7.0049
söllingen reetzstr.,48.99379,8.5389
berghausen am stadion,49.00217,8.53608
berghausen(baden),47.95102,7.78714
berghausen pfinzbrücke,50.25923,8.00595
grötzingen krappmühlenweg,49.00667,8.51219
grötzingen oberausstraße,49.00559,8.50364
grötzingen,48.6278,9.26434
"durlach hubstraße, karlsruhe",49.00368,8.47227
"durlach untermühlstraße, karlsruhe",49.00225,8.46038
"weinweg, karlsruhe",49.01058,8.44585
"tullastraße/alter schlachthof, karlsruhe",49.00528,8.43105
"gottesauer platz/bgv, karlsruhe",49.0077,8.42485
"durlacher tor/kit-campus süd (u), karlsruhe",49.00901,8.41448
"kronenplatz (u), karlsruhe",49.00869,8.40936
"marktplatz (kaiserstraße u), karlsruhe",49.00961,8.40363
"europaplatz/postgalerie (u), karlsruhe",49.01005,8.39428
"mühlburger tor, karlsruhe",49.01045,8.38748
"yorckstraße, karlsruhe",49.00783,8.37211
"händelstraße, karlsruhe",49.01252,8.36895
"philippstraße, karlsruhe",49.01273,8.36524
karlsruhe entenfang,49.01019,8.35849
"lameyplatz, karlsruhe",49.01299,8.35516
"starckstraße, karlsruhe",49.01507,8.35304
"mühlburg west, karlsruhe",49.01607,8.34464
"knielingen siemens, karlsruhe",49.02757,8.3506
"knielingen herweghstraße, karlsruhe",49.03215,8.34397
"knielingen eggensteiner straße, karlsruhe",49.03775,8.34392
karlsruhe-kniel. rheinbergstr.,49.03695,8.33746
maxau,47.91085,10.5678
maximiliansau eisenbahnstraße,49.03548,8.29234
maximiliansau west,49.03139,8.27653
bad peterstal,48.43067,8.20998
löcherberg,48.43322,8.17528
ibach,47.73257,8.07073
oppenau,48.47369,8.16498
ramsbach birkhof,48.49573,8.14144
ramsbach höfle,48.4956,8.1407
hubacker,47.23219,9.6333
lautenbach(baden),48.52073,8.11484
oberkirch-köhlersiedlung,48.52409,8.08994
oberkirch,48.53194,8.07694
zusenhofen,48.54725,8.01675
offenburg kreisschulzentrum,48.4618,7.94927
steinach(baden),48.30526,8.05821
stuttgart hbf (tief),48.76778,9.17203
berlin friedrichstraße (s),52.5043,13.39091
berlin potsdamer platz (s),52.5095,13.37538
flintbek,54.23974,10.0635
bordesholm,54.17558,10.0265
einfeld,48.39967,12.05016
neumünster,54.07032,9.98766
elmshorn,53.75444,9.65201
reinfeld(holst),53.83172,10.48968
dahlewitz,52.32078,13.44174
halen,50.94825,5.1136
achmer,52.39236,7.93768
wiesbaden hbf,50.08466,8.24215
wiesbaden-biebrich,50.04153,8.24023
wiesbaden-schierstein,50.043,8.20141
niederwalluf,50.03505,8.15958
eltville,50.02479,8.11718
erbach(rheingau),50.02148,8.09636
hattenheim,50.01376,8.06057
oestrich-winkel,49.99825,8.00849
altenstadt(waldnaab),49.72358,12.1612
hamburg hbf (s-bahn),53.48989,10.20785
ludwigshafen(bodensee),47.8184,9.05843
sipplingen,47.79548,9.09632
überlingen therme,47.7692,9.14969
überlingen,47.76729,9.15909
überlingen-nußdorf,47.75285,9.19414
uhldingen-mühlhofen,47.73561,9.24562
salem,44.93326,-123.04381
bermatingen-ahausen,47.72502,9.32247
friedrichshafen-kluftern,47.69301,9.39991
friedrichshafen-fischbach,47.67039,9.41266
friedrichshafen-manzell,47.66833,9.42667
friedrichshafen landratsamt,47.65827,9.45192
frimmersdorf,51.04676,6.57718
gustorf,51.07073,6.56673
wörth(rhein) zügelstraße,49.05316,8.26439
jockgrim bf,49.09422,8.28067
rheinzabern alte römerstraße,49.10964,8.27485
rheinzabern rappengasse,49.11631,8.27538
rheinzabern bf,49.12053,8.27787
rülzheim freizeitzentrum,49.14832,8.2791
rülzheim bf,49.15585,8.2877
bellheim bf,49.19122,8.27988
bellheim am mühlbuckel,49.19347,8.29662
sondernheim,49.19643,8.35928
germersheim süd/nolte,49.22135,8.37507
bramsche,52.40672,7.97933
hesepe,52.43998,7.96403
bersenbrück,52.55454,7.94824
quakenbrück,52.67593,7.95751
essen(oldb),51.45183,7.01108
cloppenburg,52.8487,8.04704
ahlhorn,52.90087,8.21076
großenkneten,52.94476,8.25658
huntlosen,52.99045,8.27819
sandkrug,53.05186,8.25836
oldenburg(oldb)hbf,53.13882,8.21124
rastede,53.24769,8.19832
jaderberg,53.33794,8.19027
berlin-lichtenberg (s),52.51622,13.48032
berlin ostkreuz (s),52.55064,13.44714
berlin ostbahnhof (s),52.51003,13.43367
berlin alexanderplatz (s),52.52361,13.41252
berlin hbf (s-bahn),52.61464,13.46855
berlin zoologischer garten (s),52.50811,13.33491
berlin charlottenburg (s),52.51915,13.30639
berlin-wannsee (s),52.42046,13.16709
potsdam griebnitzsee (s),52.39494,13.12848
großharthau,51.10828,14.10603
weickersdorf(sachs),51.11159,14.15315
