Station Name,IBNR
Aachen Hbf,08000001
Aachen Schanz,08070704
Aachen Süd(Gr),08000403
Aachen West,08000404
Aachen-Rothe Erde,08000406
Aalen,08000002
Abenden,08007826
Abensberg,08000410
Achern,08000412
Achern Stadt,08007001
Achim,08000413
Achkarren,08007291
Achmer,08000414
Adelebsen,08000418
Adelschlag,08000419
Adelsdorf(Mittelfr),08000420
Adelsheim Nord,08000423
Adelsheim Ost,08000424
Adorf Gasthof Zum Scharfen Eck,08071809
Adorf(Erzgeb),08011002
Adorf(Vogtl),08010001
Affaltrach,08000431
Agatharied,08000433
Agathenburg,08000434
Aglasterhausen,08007445
Aha,08000436
Ahaus,08000437
Ahlbeck Grenze,08079084
Ahlbeck Ostseetherme,08087025
Ahlen(Westf),08000441
Ahlhorn,08000442
Ahlten,08000443
Ahnatal Casselbreite,08000457
Ahnatal-Heckershausen,08002675
Ahnatal-Weimar,08006286
Ahrbrück,08001209
Ahrensburg,08000446
Ahrensburg-Gartenholz,08000480
Ahrensfelde,08011003
Ahrensfelde Friedhof,08011004
Ahrensfelde Nord,08011005
Ahrweiler,08000448
Ahrweiler Markt,08000449
Aich(Niederbay),08000451
Aichach,08000452
Aichstetten,08000454
Aindorf,08072132
Ainring,08000459
Aken(Elbe),08011006
Albbruck,08000463
Albersdorf,08000464
Albersweiler(Pfalz),08000466
Albig,08000468
Albisheim(Pfrimm),08070252
Albrechtshaus,08017000
Albrechtshof,08080040
Albshausen,08000471
Albsheim(Eis),08070096
Albstadt-Ebingen,08000473
Albstadt-Ebingen West,08079089
Albstadt-Laufen Ort,08000474
Albstadt-Lautlingen,08000475
Aldekerk,08000477
Aldingen(b Spaichingen),08000481
Aletshausen,08000482
Alexisbad,08017001
Alfeld(Leine),08000483
Algermissen,08000488
Aligse,08000489
Alken KD,08075979
Allendorf(Dillkr),08000492
Allendorf(Eder) Bf,08000493
Allensbach,08000496
Allersberg(Rothsee),08000498
Allmendingen,08000499
Alpen,08000500
Alpirsbach,08000501
Alsdorf Poststraße,08000510
Alsdorf(Westerw),08007078
Alsdorf-Annapark,08000502
Alsdorf-Busch,08000507
Alsdorf-Kellersberg,08000521
Alsdorf-Mariadorf,08000527
Alsenz,08000505
Alsfeld(Oberhess),08000350
Alsheim,08000506
Alsheim Rathaus,08070871
Alt Golm,08070013
Alt Herzberg,08017280
Alt Hüttendorf,08011011
Alt Rosenthal,08011014
Alt Schwerin,08011015
Altbach,08000508
Altdöbern,08011016
Altdorf West,08000504
Altdorf(b Nürnberg),08000509
Altdorf(Niederbay),08026354
Alte Veste,08000511
Altefähr,08011017
